model,L,AIC,AICc,BIC,N,p
JTT+G8,-79612.259655,161092.51931,1907672.51931,165017.687483,934,0.7664989189276195
JTT-DCMut+G8,-79613.544656,161095.089312,1907675.089312,165020.257485,934,0.21205216121380857
DEN+G8,-79615.835814,161099.671628,1907679.671628,165024.839801,934,0.021448919858571898
LG+G8,-79840.536803,161549.073606,1908129.073606,165474.241779,934,5.559117142038101e-100
HIVb+FO+IC,-86285.609128,174477.218256,1992801.218256,178482.234603,953,0.0
HIVb+FO+IO,-86283.762489,174473.524977,1992797.524977,178478.541325,953,0.0
HIVb+G8,-81589.299343,165046.598686,1911626.598686,168971.766859,934,0.0
HIVb+G8+IC,-81569.02757,165008.05514,1915328.05514,168937.425849,935,0.0
HIVb+G8+IO,-81564.145344,164998.290687,1915318.290687,168927.661396,935,0.0
HIVb+G8+FC,-81332.833503,164571.667005,1982895.667005,168576.683353,953,0.0
HIVb+G8+FC+IC,-81316.235962,164540.471923,1986680.471923,168549.690807,954,0.0
HIVb+G8+FC+IO,-81311.548138,164531.096276,1986671.096276,168540.31516,954,0.0
HIVb+G8+FO,-80731.184242,163368.368483,1981692.368483,167373.384831,953,0.0
HIVb+FO,-87484.218273,176872.436545,1991384.436545,180873.250358,952,0.0
HIVb+G8+FO+IO,-80706.344377,163320.688753,1985460.688753,167329.907637,954,0.0
HIVw,-92782.147539,187430.295078,1930274.295078,191351.260716,933,0.0
HIVw+IC,-91402.08676,184672.173519,1931252.173519,188597.341692,934,0.0
HIVw+IO,-91396.153624,184660.307247,1931240.307247,188585.47542,934,0.0
HIVw+FC,-92091.25289,186086.50578,2000598.50578,190087.319592,952,0.0
HIVw+FC+IC,-90679.689198,183265.378395,2001589.378395,187270.394743,953,0.0
HIVw+FC+IO,-90677.868194,183261.736388,2001585.736388,187266.752736,953,0.0
HIVw+FO,-90826.776759,183557.553518,1998069.553518,187558.36733,952,0.0
HIVw+FO+IC,-89467.582155,180841.16431,1999165.16431,184846.180658,953,0.0
HIVb+G8+FO+IC,-80710.844864,163329.689729,1985469.689729,167338.908612,954,0.0
FLU+FC,-88436.664477,178777.328953,1993289.328953,182778.142766,952,0.0
FLU+FC+IC,-87233.885119,176373.770237,1994697.770237,180378.786585,953,0.0
FLU+FC+IO,-87232.039313,176370.078626,1994694.078626,180375.094974,953,0.0
FLU+FO,-87163.862322,176231.724644,1990743.724644,180232.538457,952,0.0
FLU+FO+IC,-85968.071426,173842.142851,1992166.142851,177847.159199,953,0.0
FLU+FO+IO,-85966.239465,173838.478929,1992162.478929,177843.495277,953,0.0
FLU+G8,-81720.336984,165308.673968,1911888.673968,169233.842142,934,0.0
FLU+G8+IC,-81704.5214,165279.042799,1915599.042799,169208.413508,935,0.0
