model,L,AIC,AICc,BIC,N,p
JTT+G8,-163731.49421,329370.988419,2151510.988419,333975.512563,954,1.0
JTT-DCMut+G8,-163782.805671,329473.611341,2151613.611341,334078.135485,954,5.19655620986719e-23
HIVb+FO,-184941.764048,371827.528095,2263339.528095,376518.930053,972,0.0
HIVb+FO+IC,-182967.79426,367881.58852,2263285.58852,372577.817023,973,0.0
HIVb+FO+IO,-182935.84575,367817.691501,2263221.691501,372513.920003,973,0.0
HIVb+G8,-168907.791623,339723.583246,2161863.583246,344328.10739,954,0.0
HIVb+G8+IC,-168924.003656,339758.007312,2165718.007312,344367.358,955,0.0
HIVb+G8+IO,-168885.375057,339680.750114,2165640.750114,344290.100802,955,0.0
HIVb+G8+FC,-168490.40145,338926.8029,2234330.8029,343623.031403,973,0.0
HIVb+G8+FC+IC,-168499.600933,338947.201867,2238247.201867,343648.256915,974,0.0
HIVb+G8+FC+IO,-168454.342832,338856.685664,2238156.685664,343557.740712,974,0.0
HIVw+FO+IO,-188456.718931,378859.437862,2274263.437862,383555.666365,973,0.0
HIVb+G8+FO+IO,-167489.703408,336927.406816,2236227.406816,341628.461863,974,0.0
HIVw,-194367.355387,390640.710773,2208964.710773,395240.408372,953,0.0
HIVw+IC,-191993.823757,385895.647515,2208035.647515,390500.171658,954,0.0
HIVw+IO,-191962.427672,385832.855344,2207972.855344,390437.379487,954,0.0
HIVw+FC,-192784.612436,387513.224872,2279025.224872,392204.626829,972,0.0
HIVw+FC+IC,-190379.107738,382704.215476,2278108.215476,387400.443979,973,0.0
HIVw+FC+IO,-190347.767335,382641.534671,2278045.534671,387337.763173,973,0.0
HIVw+FO,-190793.368094,383530.736187,2275042.736187,388222.138145,972,0.0
HIVw+FO+IC,-188488.197865,378922.395729,2274326.395729,383618.624232,973,0.0
HIVb+G8+FO+IC,-167536.913846,337021.827692,2236321.827692,341722.88274,974,0.0
FLU+FC,-186172.079716,374288.159432,2265800.159432,378979.561389,972,0.0
FLU+FC+IC,-184135.23288,370216.465761,2265620.465761,374912.694263,973,0.0
FLU+FC+IO,-184103.337483,370152.674966,2265556.674966,374848.903469,973,0.0
FLU+FO,-187449.750657,376843.501313,2268355.501313,381534.90327,972,0.0
FLU+FO+IC,-181413.181348,364772.362697,2260176.362697,369468.591199,973,0.0
FLU+FO+IO,-181381.201582,364708.403164,2260112.403164,369404.631667,973,0.0
FLU+G8,-168806.862425,339521.72485,2161661.72485,344126.248994,954,0.0
FLU+G8+IC,-168814.716972,339539.433944,2165499.433944,344148.784633,955,0.0
FLU+G8+IO,-168774.607456,339459.214912,2165419.214912,344068.5656,955,0.0
HIVb+FC+IO,-184008.148316,369962.296632,2265366.296632,374658.525134,973,0.0
FLU+G8+FC+IC,-168775.099292,339498.198584,2238798.198584,344199.253632,974,0.0
FLU+G8+FC+IO,-168737.093448,339422.186895,2238722.186895,344123.241943,974,0.0
FLU+G8+FO,-166613.35492,335172.70984,2230576.70984,339868.938342,973,0.0
FLU+G8+FO+IC,-166603.282108,335154.564215,2234454.564215,339855.619263,974,0.0
FLU+G8+FO+IO,-166564.768673,335077.537345,2234377.537345,339778.592393,974,0.0
HIVb,-186617.715729,375141.431457,2193465.431457,379741.129056,953,0.0
HIVb+IC,-184632.789712,371173.579425,2193313.579425,375778.103568,954,0.0
HIVb+IO,-184600.828997,371109.657995,2193249.657995,375714.182138,954,0.0
HIVb+FC,-186044.059268,374032.118536,2265544.118536,378723.520493,972,0.0
HIVb+FC+IC,-184039.952736,370025.905472,2265429.905472,374722.133974,973,0.0
FLU+G8+FC,-168770.077343,339486.154686,2234890.154686,344182.383189,973,0.0
JTT+G8+FC+IO,-163903.246509,329754.493018,2229054.493018,334455.548066,974,0.0
JTT+G8+FO,-163445.38212,328836.76424,2224240.76424,333532.992743,973,0.0
JTT+G8+FO+IC,-163474.956689,328897.913377,2228197.913377,333598.968425,974,0.0
JTT+G8+FO+IO,-163434.0951,328816.190201,2228116.190201,333517.245248,974,0.0
JTT-DCMut,-178775.307073,359456.614146,2177780.614146,364056.311744,953,0.0
JTT-DCMut+IC,-176913.661673,355735.323347,2177875.323347,360339.84749,954,0.0
JTT-DCMut+IO,-176881.505343,355671.010685,2177811.010685,360275.534828,954,0.0
JTT-DCMut+FC+IC,-176948.388705,355842.777411,2251246.777411,360539.005913,973,0.0
JTT-DCMut+FC+IO,-176916.256725,355778.513449,2251182.513449,360474.741952,973,0.0
HIVw+G8,-176243.117546,354394.235093,2176534.235093,358998.759236,954,0.0
JTT-DCMut+FO+IC,-176604.912007,355155.824013,2250559.824013,359852.052516,973,0.0
JTT-DCMut+FO+IO,-176572.826983,355091.653966,2250495.653966,359787.882469,973,0.0
JTT-DCMut+G8+IC,-163810.337051,329530.674101,2155490.674101,334140.02479,955,0.0
JTT-DCMut+G8+IO,-163769.700275,329449.40055,2155409.40055,334058.751238,955,0.0
JTT-DCMut+G8+FC,-163963.211722,329872.423445,2225276.423445,334568.651947,973,0.0
JTT-DCMut+G8+FC+IC,-163992.899251,329933.798503,2229233.798503,334634.853551,974,0.0
