model,L,AIC,AICc,BIC,N,p
JTT+G8,-79680.953764,161233.907528,1915297.907528,165167.480773,936,0.9993720325127962
JTT-DCMut+G8,-79688.326158,161248.652316,1915312.652316,165182.22556,936,0.0006279674872036374
DEN+G8,-79716.74245,161305.484901,1915369.484901,165239.058145,936,2.8635062145584304e-16
LG+G8,-79932.447436,161736.894873,1915800.894873,165670.468117,936,5.989809236279447e-110
HIVb+FO,-87577.692316,177063.384632,1999203.384632,181072.603516,954,0.0
HIVb+FO+IC,-86375.748381,174661.496762,2000621.496762,178674.918181,955,0.0
HIVb+FO+IO,-86373.886041,174657.772082,2000617.772082,178671.193501,955,0.0
HIVb+G8,-81681.161482,165234.322963,1919298.322963,169167.896207,936,0.0
HIVb+G8+IC,-81691.005304,165256.010608,1923068.010608,169193.786388,937,0.0
HIVb+G8+IO,-81686.167099,165246.334197,1923058.334197,169184.109977,937,0.0
HIVb+G8+FC,-81416.991794,164743.983588,1990703.983588,168757.405007,955,0.0
HIVb+G8+FC+IC,-81423.190604,164758.381209,1994542.381209,168776.005163,956,0.0
HIVb+G8+FC+IO,-81418.68527,164749.37054,1994533.37054,168766.994495,956,0.0
HIVb+FC+IO,-86918.061296,175746.122592,2001706.122592,179759.544011,955,0.0
HIVb+G8+FO+IC,-80819.134287,163550.268573,1993334.268573,167567.892528,956,0.0
HIVb+G8+FO+IO,-80814.625311,163541.250621,1993325.250621,167558.874576,956,0.0
HIVw,-92894.206249,187658.412498,1937978.412498,191587.783207,935,0.0
HIVw+IC,-91507.069384,184886.138768,1938950.138768,188819.712012,936,0.0
HIVw+IO,-91505.274623,184882.549245,1938946.549245,188816.122489,936,0.0
HIVw+FC,-92161.001691,186230.003382,2008370.003382,190239.222265,954,0.0
HIVw+FC+IC,-90747.260195,183404.52039,2009364.52039,187417.941809,955,0.0
HIVw+FC+IO,-90745.438706,183400.877412,2009360.877412,187414.298831,955,0.0
HIVw+FO,-90885.508588,183679.017176,2005819.017176,187688.236059,954,0.0
HIVb+G8+FO,-80802.226019,163514.452038,1989474.452038,167527.873457,955,0.0
FLU+IO,-87306.444254,176484.888507,1930548.888507,180418.461751,936,0.0
FLU+FC,-88486.717263,178881.434526,2001021.434526,182890.653409,954,0.0
FLU+FC+IC,-87281.624116,176473.248233,2002433.248233,180486.669652,955,0.0
FLU+FC+IO,-87279.783405,176469.56681,2002429.56681,180482.988229,955,0.0
FLU+FO,-87210.498628,176328.997256,1998468.997256,180338.21614,954,0.0
FLU+FO+IC,-86012.05013,173934.10026,1999894.10026,177947.521679,955,0.0
FLU+FO+IO,-86010.221999,173930.443997,1999890.443997,177943.865416,955,0.0
