9606_0:000414 | "Homo sapiens | "LCK
9606_0:000615 | "Homo sapiens | "c-fgr;FGR
9606_0:0006d4 | "Homo sapiens | "ABL2
9606_0:0012a1 | "Homo sapiens | "TEC
9606_0:001389 | "Homo sapiens | "TXK
9606_0:001503 | "Homo sapiens | "ITK
9606_0:0018b3 | "Homo sapiens | "FYN
9606_0:0018dd | "Homo sapiens | "FRK
9606_0:001d79 | "Homo sapiens | "EGFR
9606_0:0021ca | "Homo sapiens | "BLK
9606_0:00225d | "Homo sapiens | "LYN
9606_0:00253e | "Homo sapiens | "ABL1
9606_0:0026b3 | "Homo sapiens | "ABL1
9606_0:0041a7 | "Homo sapiens | "YES1
9606_0:004857 | "Homo sapiens | "SRMS
9606_0:0048d0 | "Homo sapiens | "HCK
9606_0:00493f | "Homo sapiens | "SRC
9606_0:004ddb | "Homo sapiens | "BMX
9606_0:005053 | "Homo sapiens | "BTK
1868482_0:002e9c | "Carlito syrichta | "TEC
379532_0:000df2 | "Propithecus coquereli | "TEC
9447_0:004290 | "Lemur catta | "123624818
30611_0:002cf7 | "Otolemur garnettii | "TEC
30608_0:004b67 | "Microcebus murinus | "LOC105874757
37293_0:000c18 | "Aotus nancymaae | "TEC
9515_0:0007c5 | "Sapajus apella | "TEC
81572_0:004020 | "Hylobates moloch | "TEC
61853_0:003ed3 | "Nomascus leucogenys | "TEC
54180_0:000e85 | "Trachypithecus francoisi | "TEC
9545_0:000f9d | "Macaca nemestrina | "TEC
61621_0:00495b | "Rhinopithecus bieti | "TEC
9555_0:000f27 | "Papio anubis | "TEC
9598_0:00139d | "Pan troglodytes | "TEC
39432_0:000cc9 | "Saimiri boliviensis boliviensis | "TEC
9597_0:00156c | "Pan paniscus | "TEC
591936_0:000e66 | "Piliocolobus tephrosceles | "TEC
9483_0:000db6 | "Callithrix jacchus | "TEC
9568_0:000b97 | "Mandrillus leucophaeus | "TEC
9601_0:001360 | "Pongo abelii | "TEC
9531_0:001e61 | "Cercocebus atys | "TEC
9541_0:001953 | "Macaca fascicularis | "TEC
1737458_0:002095 | "Cebus capucinus imitator | "TEC
9565_0:00159b | "Theropithecus gelada | "TEC
9544_0:001663 | "Macaca mulatta | "TEC
9606_0:0012a1 | "Homo sapiens | "TEC
60711_0:0026e9 | "Chlorocebus sabaeus | "TEC
61622_0:0006ef | "Rhinopithecus roxellana | "TEC
9595_0:00132f | "Gorilla gorilla gorilla | "TEC
336983_0:004427 | "Colobus angolensis palliatus | "TEC
1868482_0:001f89 | "Carlito syrichta | "ABL1
379532_0:000d8d | "Propithecus coquereli | "ABL1
9447_0:002d76 | "Lemur catta | "123646592
30611_0:002de8 | "Otolemur garnettii | "ABL1
30608_0:00235f | "Microcebus murinus | "ABL1
37293_0:00212e | "Aotus nancymaae | "ABL1
9515_0:003b67 | "Sapajus apella | "ABL1
9515_0:003ba4 | "Sapajus apella | "ABL1
81572_0:00269a | "Hylobates moloch | "ABL1
81572_0:0026c1 | "Hylobates moloch | "ABL1
61853_0:0017ae | "Nomascus leucogenys | "ABL1
61853_0:001a5c | "Nomascus leucogenys | "ABL1
54180_0:000686 | "Trachypithecus francoisi | "ABL1
54180_0:000693 | "Trachypithecus francoisi | "ABL1
9545_0:002a1e | "Macaca nemestrina | "ABL1
9545_0:002a53 | "Macaca nemestrina | "ABL1
61621_0:00389e | "Rhinopithecus bieti | "ABL1
9555_0:0034d6 | "Papio anubis | "ABL1
9555_0:003536 | "Papio anubis | "ABL1
9598_0:00251e | "Pan troglodytes | "ABL1
9598_0:0026a7 | "Pan troglodytes | "ABL1
39432_0:003e4f | "Saimiri boliviensis boliviensis | "ABL1
9597_0:002590 | "Pan paniscus | "ABL1
9597_0:002812 | "Pan paniscus | "ABL1
591936_0:003475 | "Piliocolobus tephrosceles | "ABL1
9483_0:000464 | "Callithrix jacchus | "ABL1
9483_0:000596 | "Callithrix jacchus | "ABL1
9568_0:004edc | "Mandrillus leucophaeus | "ABL1
9601_0:002568 | "Pongo abelii | "ABL1
9601_0:0025a8 | "Pongo abelii | "ABL1
9531_0:00370d | "Cercocebus atys | "ABL1
